INFO:root:Range for width is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27], range for height is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
INFO:root:13, 6
INFO:root:Position of the apple is: [18, 1]
INFO:root:Position of the snake is: [[13, 6]]
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Snake parts are: [[18, 1]]
INFO:root:Range for width is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27], range for height is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
INFO:root:18, 1
INFO:root:19, 1
INFO:root:Position of the apple is: [1, 9]
INFO:root:Position of the snake is: [[18, 1], [19, 1]]
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Snake parts are: [[1, 9], [1, 10]]
INFO:root:Range for width is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27], range for height is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
INFO:root:1, 9
INFO:root:1, 10
INFO:root:1, 11
INFO:root:Position of the apple is: [10, 8]
INFO:root:Position of the snake is: [[1, 9], [1, 10], [1, 11]]
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Snake parts are: [[10, 8], [10, 9], [11, 9]]
INFO:root:Range for width is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27], range for height is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
INFO:root:10, 8
INFO:root:10, 9
INFO:root:11, 9
INFO:root:12, 9
INFO:root:Position of the apple is: [7, 7]
INFO:root:Position of the snake is: [[10, 8], [10, 9], [11, 9], [12, 9]]
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Snake parts are: [[7, 7], [7, 6], [8, 6], [9, 6]]
INFO:root:Range for width is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27], range for height is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
INFO:root:7, 7
INFO:root:7, 6
INFO:root:8, 6
INFO:root:9, 6
INFO:root:10, 6
INFO:root:Position of the apple is: [17, 4]
INFO:root:Position of the snake is: [[7, 7], [7, 6], [8, 6], [9, 6], [10, 6]]
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: d, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Snake parts are: [[17, 4], [17, 5], [18, 5], [18, 4], [18, 3]]
INFO:root:Range for width is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27], range for height is: [1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]
INFO:root:17, 4
INFO:root:17, 5
INFO:root:18, 5
INFO:root:18, 4
INFO:root:18, 3
INFO:root:18, 2
INFO:root:Position of the apple is: [27, 2]
INFO:root:Position of the snake is: [[17, 4], [17, 5], [18, 5], [18, 4], [18, 3], [18, 2]]
INFO:root:Pressed key is: w, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: a, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: s, type for key is: <class 'str'>
INFO:root:Pressed key is: w, type for key is: <class 'str'>
